,ID_USUARIO,ID_ATIVIDADE,DT_RESPOSTA,NU_PORCENTAGEM_ACERTOS
168,82423,60981,2020-05-19T09:50:37.79,1
169,82423,60982,2020-05-21T08:47:17.927,1
170,82423,60984,2020-05-21T10:45:30.57,1
171,82423,60986,2020-05-30T15:48:20.017,1
172,146268,60961,2020-04-17T18:04:02.53,1
173,146268,60962,2020-04-17T18:04:26.243,1
174,146268,60963,2020-04-17T18:05:27.02,1
175,146268,60964,2020-04-17T18:05:33.38,1
176,146268,60965,2020-04-17T18:06:21.287,1
177,146268,60967,2020-04-17T18:07:59.55,1
178,146268,60968,2020-04-17T18:12:17.337,1
179,146268,60971,2020-04-23T15:23:10.66,1
180,146268,60972,2020-04-28T17:50:56.397,1
181,146268,60974,2020-04-30T11:29:02.24,1
182,146268,60975,2020-05-06T14:51:11.303,1
183,146268,60976,2020-05-07T12:48:53.27,1
184,146268,60978,2020-05-12T12:04:54.997,0
185,146268,60980,2020-05-14T16:44:40.127,1
186,146268,60981,2020-05-21T18:37:01,1
187,146268,60982,2020-05-21T18:42:59.24,1
188,146268,60984,2020-05-21T18:47:36.89,1
189,146268,60986,2020-06-01T20:27:10.737,1
190,82421,60971,2020-04-27T14:05:28.297,1
191,82421,60972,2020-04-28T11:16:34.753,1
192,82421,60974,2020-05-06T14:28:46.767,1
193,82421,60975,2020-05-06T18:33:36.743,1
194,82421,60976,2020-05-07T10:15:20.047,1
195,82421,60980,2020-05-14T10:14:24.203,1
196,82421,60981,2020-05-21T18:51:39.53,1
197,82421,60982,2020-05-21T18:52:34.247,1
198,82421,60986,2020-06-03T17:36:26.303,1
199,237248,60974,2020-05-07T19:42:06.17,1
200,237248,60975,2020-05-07T19:46:28.457,1
201,237248,60976,2020-05-07T19:48:14.993,1
202,237248,60981,2020-05-22T12:28:09.2,1
203,237248,60982,2020-05-22T12:29:06.27,1
204,237248,60984,2020-05-22T12:29:59.41,1
205,257845,60974,2020-05-07T19:48:28.663,1
206,257845,60976,2020-05-12T15:29:00.797,1
207,82426,60961,2020-04-15T14:24:06.057,1
208,82426,60962,2020-04-15T14:24:42.437,1
209,82426,60963,2020-04-15T14:25:14.167,1
210,82426,60964,2020-04-15T14:25:49.46,1
211,82426,60965,2020-04-15T14:27:03.08,1
212,82426,60967,2020-04-20T17:22:10.35,1
213,82426,60968,2020-04-20T17:24:08.69,1
214,82426,60971,2020-05-05T15:22:07.937,1
215,82426,60972,2020-05-05T16:00:17.1,1
216,82426,60974,2020-05-05T15:10:30.583,1
217,82426,60975,2020-05-05T15:14:07.39,1
218,82426,60976,2020-05-07T15:34:09.48,1
219,255481,60961,2020-04-20T10:37:53.157,1
220,255481,60962,2020-04-20T10:37:55.517,1
221,255481,60963,2020-04-20T10:37:56.71,1
222,255481,60964,2020-04-20T10:37:57.92,1
223,255481,60965,2020-04-20T10:38:59.297,1
224,255481,60967,2020-04-20T11:11:51.177,1
225,255481,60968,2020-04-16T17:54:37.247,1
226,255481,60971,2020-04-27T08:34:54.937,1
227,255481,60976,2020-05-08T12:53:12.463,1
